key,en,es
My Bookmarks,My Bookmarks,Mis marcadores
Links'previews and Copyright holders,Links'previews and Copyright holders,Vistas previas y derechos de propiedad intelectual
"All the content of links' previews has been published with the explicit consent of their owners, since it has been obtained through the tags that they provide everyone to allow anyone to use that content to show link's previews.","All the content of links' previews has been published with the explicit consent of their owners, since it has been obtained through the tags that they provide everyone to allow anyone to use that content to show link's previews.",Todos los contenidos de las vistas previas se publican con el consentimiento explicito de los propietarios ya que han sido obtenidos a través de las etiquetas que ellos proporcionan para permitir que se publiquen tales previsualizaciones.
Terms and privacy policy,Terms and privacy policy,Condiciones y política de privacidad
Crowdference users are protected by the privacy and security requirements established by European and Spanish laws.,Crowdference users are protected by the privacy and security requirements established by European and Spanish laws.,La privacidad y la seguridad de los usuarios de crowdference está protegidos por las leyes Europeas y Españolas en tales materias.
"Crowdference users must act in compliance the laws of Europe, Spain and their respective countries.","Crowdference users must act in compliance the laws of Europe, Spain and their respective countries.","Los usuarios de crowdference deben respetar las leyes Europeas, españolas y de sus respectivos países."
Search,Search,Busqueda
Ranking,Ranking,Ranking
Bookmarks,Bookmarks,Marcadores
Recents,Recents,Recientes
Language,Language,Idiomas
Back clip,Back clip,Adjuntado por
clipped URLs,clipped URLs,Urls adjuntas
Colaborations,Colaborations,Colaboradores
search links in crowdference,search links in crowdference,buscar enlaces en crowdference
clip related URLs,clip related URLs,Adjuntar URLs relaccionados
es,Spanish,Español
en,English,Inglés
